TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI. City    Hurt    Dowry Deaths    Assault    on    Women    Insult    to    the    modesty,,,,,,,,,
,,,,,,,,,
"No.    (Sec.323-333,335-338    IPC)    (Sec.304B IPC)    with    intent    to    outrage    of    Women",,,,,,,,,
,,,,,,,,,
her modesty    (Sec.509    IPC),,,,,,,,,
,,,,,,,,,
(Sec.354 IPC),,,,,,,,,
,,,,,,,,,
I    R    I    R    I    R    I    R,,,,,,,,,
,,,,,,,,,
(1),_(?)_,_(45)_,(46)_,(47)_,(48)_,(49)_,(50)_,(51)_,(52)_
CITIES:,,,,,,,,,
36,AGRA,178,10.2,31,1.8,61,3.5,43,2.5
37,AHMEDABAD,1320,20.8,11,0.2,79,1.2,7,0.1
38,ALLAHABAD,87,7.1,9,0.7,17,1.4,0,0.0
39,AMRITSAR,134,11.3,5,0.4,14,1.2,0,0.0
40,ASANSOL,93,7.5,15,1.2,31,2.5,4,0.3
41,AURANGABAD,460,38.7,4,0.3,79,6.6,28,2.4
42,BENGALURU,3095,36.4,51,0.6,321,3.8,51,0.6
43,BHOPAL,1173,62.3,14,0.7,202,10.7,29,1.5
44,CHANDIGARH (CITY),35,3.4,4,0.4,43,4.2,23,2.2
45,CHENNAI,1412,16.2,12,0.1,90,1.0,141,1.6
46,COIMBATORE,272,12.6,0,0.0,17,0.8,2,0.1
47,DELHI (CITY),1484,9.1,100,0.6,639,3.9,181,1.1
48,DHANBAD,51,4.3,10,0.8,4,0.3,0,0.0
49,DURG-BHILAINAGAR,131,12.3,6,0.6,139,13.1,23,2.2
50,FARID AB AD,163,11.6,8,0.6,31,2.2,84,6.0
51,GHAZIABAD,6,0.3,22,0.9,34,1.4,37,1.6
52,GWALIOR,467,42.4,25,2.3,110,10.0,11,1.0
53,HYDERABAD,3381,43.6,23,0.3,145,1.9,141,1.8
54,INDORE,845,39.0,18,0.8,297,13.7,90,4.2
55,JABALPUR,2076,163.7,9,0.7,160,12.6,41,3.2
56,JAIPUR,649,21.1,30,1.0,91,3.0,0,0.0
57,JAMSHEDPUR,569,42.6,14,1.0,18,1.3,2,0.1
58,JODHPUR,703,61.8,16,1.4,43,3.8,0,0.0
59,KANNUR,353,21.5,0,0.0,40,2.4,5,0.3
60,KANPUR,95,3.3,30,1.0,57,2.0,0,0.0
61,KOCHI,445,21.0,0,0.0,108,5.1,16,0.8
62,KOLKATA,3518,24.9,19,0.1,486,3.4,377,2.7
63,KOLLAM,1002,90.3,4,0.4,171,15.4,41,3.7
64,KOTA,115,11.5,5,0.5,73,7.3,0,0.0
65,KOZHIKODE,631,31.1,0,0.0,103,5.1,83,4.1
66,LUCKNOW,76,2.6,15,0.5,110,3.8,2,0.1
67,LUDHIANA,194,12.0,10,0.6,30,1.9,14,0.9
68,MADURAI,245,16.8,3,0.2,28,1.9,8,0.5
69,MALAPPURAM,158,9.3,0,0.0,33,1.9,4,0.2
70,MEERUT,14,1.0,15,1.1,63,4.4,0,0.0
71,MUMBAI,3939,21.4,11,0.1,614,3.3,235,1.3
72,NAGPUR,974,39.0,6,0.2,84,3.4,53,2.1
73,NAS IK,229,14.7,3,0.2,36,2.3,16,1.0
74,PATNA,3401,166.1,55,2.7,15,0.7,1,0.0
75,PUNE,1071,21.2,9,0.2,120,2.4,85,1.7
76,RAIPUR,1819,162.0,5,0.4,89,7.9,26,2.3
77,RAJKOT,336,24.2,0,0.0,10,0.7,3,0.2
78,RANCHI,386,34.3,6,0.5,10,0.9,4,0.4
79,SRINAGAR,16,1.3,0,0.0,201,15.8,82,6.4
80,SURAT,441,9.6,3,0.1,28,0.6,0,0.0
81,THIRUVANANTHAPURAM,1116,66.2,0,0.0,226,13.4,19,1.1
82,THRISSUR,359,19.4,0,0.0,111,6.0,32,1.7
83,TIRUCHIRAPALLI,146,14.3,3,0.3,9,0.9,39,3.8
84,VADODARA,375,20.6,0,0.0,15,0.8,4,0.2
85,VARANASI,106,7.4,15,1.0,9,0.6,0,0.0
86,VASAI VIRAR,262,21.5,2,0.2,46,3.8,6,0.5
87,VIJAYAWADA,1961,131.5,16,1.1,223,15.0,418,28.0
88,VISHAKHAPATNAM,1207,69.8,11,0.6,23,1.3,11,0.6
,TOTAL (CITIES),43774,27.2,683,0.4,5836,3.6,2522,1.6
,,,,,,,,,
217,,,,,,,,,
